name,institution,course_url,course_id,id,promedio_rating
Modern Art & Ideas,The Museum of Modern Art,https://www.coursera.org/learn/modern-art-ideas,modern-art-ideas,138.0,4.767911200807266
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,https://www.coursera.org/learn/speak-english-professionally,speak-english-professionally,139.0,4.765037593984962
Essential Google Cloud Infrastructure: Foundation,Google Cloud,https://www.coursera.org/learn/gcp-infrastructure-foundation,gcp-infrastructure-foundation,140.0,4.727941176470588
Introduction to Artificial Intelligence (AI),IBM,https://www.coursera.org/learn/introduction-to-ai,introduction-to-ai,141.0,4.765455531453362
Dog Emotion and Cognition,Duke University,https://www.coursera.org/learn/dog-emotion-and-cognition,dog-emotion-and-cognition,142.0,4.6312785388127855
International Leadership and Organizational Behavior,Università Bocconi,https://www.coursera.org/learn/organizational-behavior,organizational-behavior,143.0,4.844660194174757
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,https://www.coursera.org/learn/sdgbusiness,sdgbusiness,144.0,4.873239436619718
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,https://www.coursera.org/learn/global-sustainable-development,global-sustainable-development,145.0,4.791318864774625
Digital Transformation,BCG,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,bcg-uva-darden-digital-transformation,146.0,4.804093567251462
Sequence Models,DeepLearning.AI,https://www.coursera.org/learn/nlp-sequence-models,nlp-sequence-models,147.0,4.6385498923187365
Devenir entrepreneur du changement,HEC Paris,https://www.coursera.org/learn/entrepreneur-changement,entrepreneur-changement,148.0,4.7561436672967865
Seeing Through Photographs,The Museum of Modern Art,https://www.coursera.org/learn/photography,photography,149.0,4.7849223946784925
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,wharton-entrepreneurship-opportunity,150.0,4.801242236024844
Introduction to Search Engine Optimization,"University of California, Davis",https://www.coursera.org/learn/search-engine-optimization,search-engine-optimization,151.0,4.60122182431009
Learn to Speak Korean 1,Yonsei University,https://www.coursera.org/learn/learn-speak-korean1,learn-speak-korean1,152.0,4.889457523029683
Drug Development,University of California San Diego,https://www.coursera.org/learn/drug-development,drug-development,153.0,4.554535017221585
R Programming,Johns Hopkins University,https://www.coursera.org/learn/r-programming,r-programming,154.0,4.238336713995944
Economics of Money and Banking,Columbia University,https://www.coursera.org/learn/money-banking,money-banking,155.0,4.955719557195572
Chinese for Beginners,Peking University,https://www.coursera.org/learn/learn-chinese,learn-chinese,156.0,4.794927453444533
Grammar and Punctuation,"University of California, Irvine",https://www.coursera.org/learn/grammar-punctuation,grammar-punctuation,157.0,4.767543859649122
Japanese for beginners 1,Saint Petersburg State University,https://www.coursera.org/learn/japanese-1,japanese-1,158.0,3.358974358974359
Introduction to English Common Law,University of London,https://www.coursera.org/learn/intro-common-law,intro-common-law,159.0,4.816143497757848
Introduction to Dental Medicine,University of Pennsylvania,https://www.coursera.org/learn/dental-medicine-penn,dental-medicine-penn,160.0,4.909426987060998
Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,fundamentals-of-reinforcement-learning,161.0,4.739800543970988
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",https://www.coursera.org/learn/principles-of-macroeconomics,principles-of-macroeconomics,162.0,4.639502762430939
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,https://www.coursera.org/learn/corp-sustainability,corp-sustainability,163.0,4.565789473684211
Behavioral Finance,Duke University,https://www.coursera.org/learn/duke-behavioral-finance,duke-behavioral-finance,164.0,4.093023255813954
"Sequences, Time Series and Prediction",DeepLearning.AI,https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,tensorflow-sequences-time-series-and-prediction,165.0,4.507890961262554
Supply Chain Logistics,Rutgers the State University of New Jersey,https://www.coursera.org/learn/supply-chain-logistics,supply-chain-logistics,166.0,4.721752498078401
Project Execution,"University of California, Irvine",https://www.coursera.org/learn/project-execution,project-execution,167.0,3.9285714285714284
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/nutricion-obesidad-sobrepeso,nutricion-obesidad-sobrepeso,168.0,4.770848985725019
Microeconomics Principles,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/microeconomics,microeconomics,169.0,4.820487804878049
Creative Writing: The Craft of Plot,Wesleyan University,https://www.coursera.org/learn/craft-of-plot,craft-of-plot,170.0,4.650602409638554
Astronomy: Exploring Time and Space,University of Arizona,https://www.coursera.org/learn/astro,astro,171.0,4.881918819188192
Oil & Gas Industry Operations and Markets,Duke University,https://www.coursera.org/learn/oilandgas,oilandgas,172.0,4.822699386503068
Design Thinking for Innovation,University of Virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,uva-darden-design-thinking-innovation,173.0,4.677365799667958
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,https://www.coursera.org/learn/becoming-a-veterinarian,becoming-a-veterinarian,174.0,4.6858108108108105
Learn to Program: The Fundamentals,University of Toronto,https://www.coursera.org/learn/learn-to-program,learn-to-program,175.0,4.749367088607595
Financial Accounting Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-financial-accounting,uva-darden-financial-accounting,176.0,4.841791044776119
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life,finding-purpose-and-meaning-in-life,177.0,4.799274486094316
Understanding Clinical Research: Behind the Statistics,University of Cape Town,https://www.coursera.org/learn/clinical-research,clinical-research,178.0,4.812720848056537
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,https://www.coursera.org/learn/epidemiology,epidemiology,179.0,4.653307580878803
Fashion as Design,The Museum of Modern Art,https://www.coursera.org/learn/fashion-design,fashion-design,180.0,4.841673502871206
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,https://www.coursera.org/learn/teamwork-skills-effective-communication,teamwork-skills-effective-communication,181.0,4.781685870224378
Feminism and Social Justice,"University of California, Santa Cruz",https://www.coursera.org/learn/feminism-social-justice,feminism-social-justice,182.0,4.814814814814815
International Organizations Management,University of Geneva,https://www.coursera.org/learn/international-organizations-management,international-organizations-management,183.0,4.837037037037037
Marketing Digital,Universidade de São Paulo,https://www.coursera.org/learn/estrategia-marketing-digital,estrategia-marketing-digital,184.0,4.798927613941019
Fundamentals of GIS,"University of California, Davis",https://www.coursera.org/learn/gis,gis,185.0,4.8638165345413364
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/elearning,elearning,186.0,4.5064935064935066
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,excel-vba-for-creative-problem-solving-part-1,187.0,4.859037328094303
Rethinking International Tax Law,Universiteit Leiden,https://www.coursera.org/learn/international-taxation,international-taxation,188.0,4.818713450292398
Introduction to Probability and Data with R,Duke University,https://www.coursera.org/learn/probability-intro,probability-intro,189.0,4.62962962962963
Understanding and Visualizing Data with Python,University of Michigan,https://www.coursera.org/learn/understanding-visualization-data,understanding-visualization-data,190.0,4.635391923990499
Fundamentals of Visualization with Tableau,"University of California, Davis",https://www.coursera.org/learn/data-visualization-tableau,data-visualization-tableau,191.0,4.355434782608696
Getting Started with SAS Programming,SAS,https://www.coursera.org/learn/sas-programming-basics,sas-programming-basics,192.0,4.874587458745874
Machine Learning for All,University of London,https://www.coursera.org/learn/uol-machine-learning-for-all,uol-machine-learning-for-all,193.0,4.69271758436945
Using Databases with Python,University of Michigan,https://www.coursera.org/learn/python-databases,python-databases,194.0,4.705329949238578
